date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202024%2018:57:14%20GMT	http://thememinister.com/robots.txt		(from )
00:27:14	64592/64592	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2016:16:54%20GMT	http://thememinister.com/crm/	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/index.html	(from )
00:27:15	30747/30747	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Dec%202016%2015:07:02%20GMT	http://thememinister.com/crm/assets/plugins/jquery-ui-1.12.1/jquery-ui.min.css	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/plugins/jquery-ui-1.12.1/jquery-ui.min.css	(from http://thememinister.com/crm/)
00:27:16	11783/11783	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Feb%202017%2015:28:36%20GMT	http://thememinister.com/crm/assets/plugins/lobipanel/lobipanel.min.css	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/plugins/lobipanel/lobipanel.min.css	(from http://thememinister.com/crm/)
00:27:17	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Dec%202016%2012:42:22%20GMT	http://thememinister.com/crm/assets/font-awesome/css/font-awesome.min.css	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/font-awesome/css/font-awesome.min.css	(from http://thememinister.com/crm/)
00:27:18	17554/17554	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202017%2013:29:20%20GMT	http://thememinister.com/crm/assets/themify-icons/themify-icons.css	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/themify-icons/themify-icons.css	(from http://thememinister.com/crm/)
00:27:19	9903/9903	---M--	200	added ('OK')	text/css	date:Tue,%2030%20May%202017%2014:51:56%20GMT	http://thememinister.com/crm/assets/plugins/monthly/monthly.css	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/plugins/monthly/monthly.css	(from http://thememinister.com/crm/)
00:27:21	64592/64592	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2016:16:54%20GMT	http://thememinister.com/crm/index.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/index-2.html	(from http://thememinister.com/crm/)
00:27:21	23512/23512	---M--	200	added ('OK')	image/png	date:Wed,%2003%20May%202017%2015:13:26%20GMT	http://thememinister.com/crm/assets/dist/img/mini-logo.png	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/dist/img/mini-logo.png	(from http://thememinister.com/crm/)
00:27:22	841/841	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202017%2015:31:20%20GMT	http://thememinister.com/crm/assets/dist/img/basketball-jersey.png	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/dist/img/basketball-jersey.png	(from http://thememinister.com/crm/)
00:27:22	581/581	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202017%2015:31:38%20GMT	http://thememinister.com/crm/assets/dist/img/shirt.png	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/dist/img/shirt.png	(from http://thememinister.com/crm/)
00:27:23	810/810	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202017%2015:29:44%20GMT	http://thememinister.com/crm/assets/dist/img/football.png	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/dist/img/football.png	(from http://thememinister.com/crm/)
00:27:23	822/822	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202017%2015:32:34%20GMT	http://thememinister.com/crm/assets/dist/img/shoe.png	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/dist/img/shoe.png	(from http://thememinister.com/crm/)
00:27:24	37323/37323	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2011:36:34%20GMT	http://thememinister.com/crm/assets/dist/img/avatar.png	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/dist/img/avatar.png	(from http://thememinister.com/crm/)
00:27:26	54529/54529	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:50:22%20GMT	http://thememinister.com/crm/profile.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/profile.html	(from http://thememinister.com/crm/)
00:27:26	3794/3794	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2010:30:12%20GMT	http://thememinister.com/crm/login.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/login.html	(from http://thememinister.com/crm/)
00:27:26	42855/42855	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2016:01:36%20GMT	http://thememinister.com/crm/add-customer.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/add-customer.html	(from http://thememinister.com/crm/)
00:27:28	55299/55299	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:59:42%20GMT	http://thememinister.com/crm/clist.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/clist.html	(from http://thememinister.com/crm/)
00:27:29	8007/8007	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Dec%202016%2011:19:54%20GMT	http://thememinister.com/crm/assets/dist/img/avatar5.png	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/dist/img/avatar5.png	(from http://thememinister.com/crm/)
00:27:29	40651/40651	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2011:39:06%20GMT	http://thememinister.com/crm/assets/dist/img/avatar3.png	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/assets/dist/img/avatar3.png	(from http://thememinister.com/crm/)
00:27:29	57094/57094	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:57:02%20GMT	http://thememinister.com/crm/group.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/group.html	(from http://thememinister.com/crm/)
00:27:31	43101/43101	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:58:36%20GMT	http://thememinister.com/crm/deposit.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/deposit.html	(from http://thememinister.com/crm/)
00:27:32	43176/43176	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:57:26%20GMT	http://thememinister.com/crm/expense.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/expense.html	(from http://thememinister.com/crm/)
00:27:33	45562/45562	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:47:46%20GMT	http://thememinister.com/crm/transfer.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/transfer.html	(from http://thememinister.com/crm/)
00:27:34	47856/47856	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:46:08%20GMT	http://thememinister.com/crm/view-tsaction.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/view-tsaction.html	(from http://thememinister.com/crm/)
00:27:35	45755/45755	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2016:00:46%20GMT	http://thememinister.com/crm/balance.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/balance.html	(from http://thememinister.com/crm/)
00:27:36	47620/47620	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:47:24%20GMT	http://thememinister.com/crm/treport.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/treport.html	(from http://thememinister.com/crm/)
00:27:38	54380/54380	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:54:34%20GMT	http://thememinister.com/crm/invoice.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/invoice.html	(from http://thememinister.com/crm/)
00:27:39	40999/40999	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:52:04%20GMT	http://thememinister.com/crm/ninvoices.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/ninvoices.html	(from http://thememinister.com/crm/)
00:27:40	57652/57652	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:49:56%20GMT	http://thememinister.com/crm/recurring.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/recurring.html	(from http://thememinister.com/crm/)
00:27:41	41922/41922	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:51:16%20GMT	http://thememinister.com/crm/nrecurring.html	D:/admin_UI/EcomAdminCrm/thememinister.com/crm/nrecurring.html	(from http://thememinister.com/crm/)
